Set,ID,Name,Rarity,Text,Flavour,Comments,Keywords,Life,Intellect,Resource,Cost,Defense,Attack,Variant of,Finish
WTR,10,Bone Head Barrier,S,"Rolla 6 sided die. Prevent the next X damage that would be dealt to your hero this turn, where X is the number rolled.",“Sometimes you gotta roll with the punches.”,,"brute,instant",,,2,1,,,,"standard,rainbow"
WTR,11,Breakneck Battery,R,"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more [attack], Breakneck Battery gains **go again**.",,,"brute,action,attack",,,1,2,3,6,,"standard,rainbow"
WTR,12,Breakneck Battery,R,"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more [attack], Breakneck Battery gains **go again**.",,,"brute,action,attack",,,2,2,3,5,,"standard,rainbow"
WTR,13,Breakneck Battery,R,"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more [attack], Breakneck Battery gains **go again**.",,,"brute,action,attack",,,3,2,3,4,,"standard,rainbow"
WTR,14,Savage Feast,R,"As an additional cost to play Savage Feast, discard a random card.

If the discarded card has 6 or more [attack], Savage Feast gains **go again**.",,,"brute,action,attack",,,1,1,3,6,,"standard,rainbow"
WTR,15,Savage Feast,R,"As an additional cost to play Savage Feast, discard a random card.

If the discarded card has 6 or more [attack], Savage Feast gains **go again**.",,,"brute,action,attack",,,2,1,3,5,,"standard,rainbow"
WTR,16,Savage Feast,R,"As an additional cost to play Savage Feast, discard a random card.

If the discarded card has 6 or more [attack], Savage Feast gains **go again**.",,,"brute,action,attack",,,3,1,3,4,,"standard,rainbow"
WTR,17,Barraging Beatdown,R,"Your next Brute attack this turn gains ""If this attack is defended by less than 2 non-equipment cards, it gains +4[attack].""

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.)*

**Go again**
",,,"brute,action",,,1,0,3,,,"standard,rainbow"
WTR,18,Barraging Beatdown,R,"Your next Brute attack this turn gains ""If this attack is defended by less than 2 non-equipment cards, it gains +3[attack].""

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.)*

**Go again**
",,,"brute,action",,,2,0,3,,,"standard,rainbow"
WTR,19,Barraging Beatdown,R,"Your next Brute attack this turn gains ""If this attack is defended by less than 2 non-equipment cards, it gains +2[attack].""

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.)*

**Go again**
",,,"brute,action",,,3,0,3,,,"standard,rainbow"
WTR,20,Savage Swing,C,"As an additional cost to play Savage Swing, discard a random card.","""I should have listened - no amount of money is worth coming to this retched place.""",,"brute,action,attack",,,1,1,3,7,,"standard,rainbow"
WTR,21,Savage Swing,C,"As an additional cost to play Savage Swing, discard a random card.","""I should have listened - no amount of money is worth coming to this retched place.""",,"brute,action,attack",,,2,1,3,6,,"standard,rainbow"
WTR,22,Savage Swing,C,"As an additional cost to play Savage Swing, discard a random card.","""I should have listened - no amount of money is worth coming to this retched place.""",,"brute,action,attack",,,3,1,3,5,,"standard,rainbow"
WTR,23,Booster Hunt,C,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.","Horrific beasts lurk within the shadows, their gaping maws dripping with blood.",,"brute,action,attack",,,1,2,3,6,,"standard,rainbow"
WTR,24,Booster Hunt,C,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.","Horrific beasts lurk within the shadows, their gaping maws dripping with blood.",,"brute,action,attack",,,2,2,3,5,,"standard,rainbow"
WTR,25,Booster Hunt,C,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.","Horrific beasts lurk within the shadows, their gaping maws dripping with blood.",,"brute,action,attack",,,3,2,3,4,,"standard,rainbow"
WTR,26,Smash Instinct,C,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.",Following one's instinct may be ill advised.,,"brute,action,attack",,,1,3,3,7,,"standard,rainbow"
WTR,27,Smash Instinct,C,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.",Following one's instinct may be ill advised.,,"brute,action,attack",,,2,3,3,6,,"standard,rainbow"
WTR,28,Smash Instinct,C,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.",Following one's instinct may be ill advised.,,"brute,action,attack",,,3,3,3,5,,"standard,rainbow"
WTR,29,Wrecker Romp,C,"As an additional cost to play Wrecker Romp, discard a random card.",The savage rule of the jungle; only the strong survive.,,"brute,action,attack",,,1,2,3,8,,"standard,rainbow"
WTR,30,Wrecker Romp,C,"As an additional cost to play Wrecker Romp, discard a random card.",The savage rule of the jungle; only the strong survive.,,"brute,action,attack",,,2,2,3,7,,"standard,rainbow"
WTR,31,Wrecker Romp,C,"As an additional cost to play Wrecker Romp, discard a random card.",The savage rule of the jungle; only the strong survive.,,"brute,action,attack",,,3,2,3,6,,"standard,rainbow"
WTR,32,Awakening Bellow,C,"The next Brute attack action card you play this turn gains +3[attack].

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.)*

**Go again**",,,"brute,action",,,1,1,3,,,"standard,rainbow"
WTR,33,Awakening Bellow,C,"The next Brute attack action card you play this turn gains +2[attack].

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.)*

**Go again**",,,"brute,action",,,2,1,3,,,"standard,rainbow"
WTR,34,Awakening Bellow,C,"The next Brute attack action card you play this turn gains +1[attack].

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner's hand.)*

**Go again**",,,"brute,action",,,3,1,3,,,"standard,rainbow"
WTR,35,Primeval Bellow,C,"As an additional cost to play Primeval Bellow, discard a random card.

Your next brute attack this turn gains +5[attack].

**Go again**",,,"brute,action",,,1,0,3,,,"standard,rainbow"
WTR,36,Primeval Bellow,C,"As an additional cost to play Primeval Bellow, discard a random card.

Your next brute attack this turn gains +4[attack].

**Go again**",,,"brute,action",,,2,0,3,,,"standard,rainbow"
WTR,37,Primeval Bellow,C,"As an additional cost to play Primeval Bellow, discard a random card.

Your next brute attack this turn gains +3[attack].

**Go again**",,,"brute,action",,,3,0,3,,,"standard,rainbow"
WTR,38,"Bravo, Showstopper",T,"**Action** - [2 resource]: Until end of turn, your attack action cards with cost [3 resource] or greater gain **dominate**. **Go again** *(The defending hero can't the attack with more than 1 card from their hand.*",,,"guardian,hero",40,4,,,,,,standard
WTR,39,Bravo,T,"**Action** - [2 resource]: Until end of turn, your attack action cards with cost [3 resource] or greater gain **dominate**. **Go again** *(The defending hero can't the attack with more than 1 card from their hand.*",,,"guardian,hero,young",20,4,,,,,,standard
WTR,40,Anothos,T,"**Once per turn action [3 resource] - Attack**

If you have 2 or more cards in your pitch zone with cost [3 resource] or greater, Anothos gains +2[attack].",,,"guardian,weapon,hammer,2h",,,,,,4,,standard
WTR,41,Tectonic Plating,L,"**Once per turn action** - [resource]: Create a Seismic Surge aura token. **Go again**

**Battleworn** *(If you defend with Tectonic Plating, put a -1[defense] counter on it when the combat chain closes.)*",,,"guardian,equipment,chest",,,,,2,,,cold
WTR,42,Helm of Isen's Peak,C,"**Action** - [1 resource], destroy Helm of Isen's Peak: Your hero gains +1[intellect] until end of turn.

**Battleworn** *(If you defend with Helm of Isen's Peak, put a -1[defense] counter on it when the combat chain closes.)*
",,,"guardian,equipment,head",,,,,1,,,"standard,rainbow"
WTR,43,Crippling Crush,M,"**Bravo Specialization** *(You may only Crippling Crush in your deck if your hero is Bravo.)*

**Crush** - If Crippling Crush does 4 or more damage to a hero, they discard 2 random cards.",,,"guardian,action,attack",,,1,7,3,11,,"standard,rainbow"
WTR,44,Spinal Crush,M,"**Crush** - If Spinal Crush does 4 or more damage to a hero, action cards, activated abilities, and attacks they control lose and can't gain **go again** during their next action phase.",,,"guardian,action,attack",,,1,5,3,9,,"standard,rainbow"
WTR,45,Cranial Crush,S,"**Crush** - If Cranial Crush does 4 or more damage to a hero, they can't draw cards during their next action phase.","""Leave now, or a hangover will be the least of your worries."" - Valda Brightaxe",,"guardian,action,attack",,,3,6,3,8,,"standard,rainbow"
WTR,46,Forged for War,S,"**Go again**

While Forged for War is in the arena, equipment you control gain +1[defense].

At the beginning of your action phase, destroy Forged for War.",,,"guardian,action,aura",,,2,2,3,,,"standard,rainbow"
WTR,47,Show Time!,S,"**Bravo Specialization** *(You may only Crippling Crush in your deck if your hero is Bravo.)*

When Show Time! enters the arena, search your deck for a Guardian attack action card, reveal it, put it into your hand, then shuffle your library.

At the beginning of your action phase, destroy Show Time! then draw a card.",,,"guardian,action,aura",,,3,3,3,,,"standard,rainbow"
WTR,48,Disable,R,"**Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of it's owners deck.",,,"guardian,action,attack",,,1,5,3,9,,"standard,rainbow"
WTR,49,Disable,R,"**Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of it's owners deck.",,,"guardian,action,attack",,,2,5,3,8,,"standard,rainbow"
WTR,50,Disable,R,"**Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of it's owners deck.",,,"guardian,action,attack",,,3,5,3,7,,"standard,rainbow"
WTR,51,Staunch Response,R,"As an additional cost to play Staunch Response, you may pay [4 resource]. If you do, Staunch Response gains +3[defense].","""Whatever comes, we must not falter."" - Ragnar Frosthelm",,"guardian,defense,reaction",,,1,2,7,,,"standard,rainbow"
WTR,52,Staunch Response,R,"As an additional cost to play Staunch Response, you may pay [4 resource]. If you do, Staunch Response gains +3[defense].","""Whatever comes, we must not falter."" - Ragnar Frosthelm",,"guardian,defense,reaction",,,2,2,6,,,"standard,rainbow"
WTR,53,Staunch Response,R,"As an additional cost to play Staunch Response, you may pay [4 resource]. If you do, Staunch Response gains +3[defense].","""Whatever comes, we must not falter."" - Ragnar Frosthelm",,"guardian,defense,reaction",,,3,2,5,,,"standard,rainbow"
WTR,54,Blessing of Deliverance,R,"**Go again**

When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost [3 resource] or greater, draw a card.

At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top 3 cards of your deck. Gain 1[life] for each card with cost [3 resource] or greater revealed this way.",,,"guardian,action,aura",,,1,2,3,,,"standard,rainbow"
WTR,55,Blessing of Deliverance,R,"**Go again**

When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost [3 resource] or greater, draw a card.

At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top 2 cards of your deck. Gain 1[life] for each card with cost [3 resource] or greater revealed this way.",,,"guardian,action,aura",,,2,2,3,,,"standard,rainbow"
WTR,56,Blessing of Deliverance,R,"**Go again**

When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost [3 resource] or greater, draw a card.

At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top card of your deck. Gain 1[life] for each card with cost [3 resource] or greater revealed this way.",,,"guardian,action,aura",,,3,2,3,,,"standard,rainbow"
WTR,57,Buckling Blow,C,"**Crush** - If Buckling does 4 or more damage to a hero, put a -1[defense] counter on target equipment they control.",,,"guardian,action,attack",,,1,4,3,8,,"standard,rainbow"
WTR,58,Buckling Blow,C,"**Crush** - If Buckling does 4 or more damage to a hero, put a -1[defense] counter on target equipment they control.",,,"guardian,action,attack",,,2,4,3,7,,"standard,rainbow"
WTR,59,Buckling Blow,C,"**Crush** - If Buckling does 4 or more damage to a hero, put a -1[defense] counter on target equipment they control.",,,"guardian,action,attack",,,3,4,3,6,,"standard,rainbow"
WTR,60,Cartilage Crush,C,"**Crush** - If Cartilage Crush does 4 or more damage to a hero, their first action during their next turn costs an additional [resource] to play.",,,"guardian,action,attack",,,1,3,3,7,,"standard,rainbow"
WTR,61,Cartilage Crush,C,"**Crush** - If Cartilage Crush does 4 or more damage to a hero, their first action during their next turn costs an additional [resource] to play.",,,"guardian,action,attack",,,2,3,3,6,,"standard,rainbow"
WTR,62,Cartilage Crush,C,"**Crush** - If Cartilage Crush does 4 or more damage to a hero, their first action during their next turn costs an additional [resource] to play.",,,"guardian,action,attack",,,3,3,3,5,,"standard,rainbow"
WTR,63,Crush Confidence,C,"**Crush** - If Crush Confidence does 4 or more damage to a hero, they lose all hero card effects and abilities until the end of their next turn. *(Treat the hero card as if the text box was empt.)*",,,"guardian,action,attack",,,1,3,3,7,,"standard,rainbow"
WTR,64,Crush Confidence,C,"**Crush** - If Crush Confidence does 4 or more damage to a hero, they lose all hero card effects and abilities until the end of their next turn. *(Treat the hero card as if the text box was empt.)*",,,"guardian,action,attack",,,2,3,3,6,,"standard,rainbow"
WTR,65,Crush Confidence,C,"**Crush** - If Crush Confidence does 4 or more damage to a hero, they lose all hero card effects and abilities until the end of their next turn. *(Treat the hero card as if the text box was empt.)*",,,"guardian,action,attack",,,3,3,3,5,,"standard,rainbow"
WTR,66,Debilitate,C,"
**Crush** - If Debilitate does 4 or more damage to a hero, their first attack during their next turn has -2[attack].","...and at that moment, Flannigan knew failure was close at hand.",,"guardian,action,attack",,,1,4,3,8,,"standard,rainbow"
WTR,67,Debilitate,C,"
**Crush** - If Debilitate does 4 or more damage to a hero, their first attack during their next turn has -2[attack].","...and at that moment, Flannigan knew failure was close at hand.",,"guardian,action,attack",,,2,4,3,7,,"standard,rainbow"
WTR,68,Debilitate,C,"
**Crush** - If Debilitate does 4 or more damage to a hero, their first attack during their next turn has -2[attack].","...and at that moment, Flannigan knew failure was close at hand.",,"guardian,action,attack",,,3,4,3,6,,"standard,rainbow"
WTR,69,Emerging Power,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

At the beginning of your action phase, destroy Emerging Power then the next Guardian attack action card you play this turn gains +3[attack].
",,,"guardian,action,aura",,,1,2,3,,,"standard,rainbow"
WTR,70,Emerging Power,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

At the beginning of your action phase, destroy Emerging Power then the next Guardian attack action card you play this turn gains +2[attack].
",,,"guardian,action,aura",,,2,2,3,,,"standard,rainbow"
WTR,71,Emerging Power,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

At the beginning of your action phase, destroy Emerging Power then the next Guardian attack action card you play this turn gains +1[attack].
",,,"guardian,action,aura",,,3,2,3,,,"standard,rainbow"
WTR,72,Stonewall Confidence,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

While Stonewall Confidence is in the arena, cards you control with cost [3 resource] or greater, gain +4[defense] while defending.

At the beginning of your action phase, destroy Stonewall Confidence.
",,,"guardian,action,aura",,,1,2,3,,,"standard,rainbow"
WTR,73,Stonewall Confidence,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

While Stonewall Confidence is in the arena, cards you control with cost [3 resource] or greater, gain +3[defense] while defending.

At the beginning of your action phase, destroy Stonewall Confidence.
",,,"guardian,action,aura",,,2,2,3,,,"standard,rainbow"
WTR,74,Stonewall Confidence,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

While Stonewall Confidence is in the arena, cards you control with cost [3 resource] or greater, gain +2[defense] while defending.

At the beginning of your action phase, destroy Stonewall Confidence.
",,,"guardian,action,aura",,,3,2,3,,,"standard,rainbow"
WTR,75,Seismic Surge,T,"At the beginning of your action phase, destroy Seismic Surge then the next Guardian attack action card you pay, costs [cost] less to play.",,,"guardian,token,aura",,,,,,,,standard
WTR,76,"Katsu, the Wanderer",T,"**Once per Turn Effect** When an attack action card you control hits, you may discard a card with cost 0. If you do, search your deck for a card with **combo**, banish it face up, then shuffle your deck. You may play it this turn.",,,"ninja,hero",40,4,,,,,,standard
WTR,77,Katsu,T,"**Once per Turn Effect** When an attack action card you control hits, you may discard a card with cost 0. If you do, search your deck for a card with **combo**, banish it face up, then shuffle your deck. You may play it this turn.",,,"ninja,hero,young",20,4,,,,,,standard
WTR,78,Harmonized Kodachi,T,"**Once per Turn Action** - [resource]: Attack

If you have a card in your pitch zone with cost 0, Harmonized Kodachi gains **go again**.",,,"ninja,weapon,dagger,1h",,,,,,1,,standard
WTR,79,Mask of Momentum,L,"**Once per Turn Effect** - When an attack action card you control is the third or higher chain link in a row to hit, draw a card.

**Blade Break** *(If you defend with Mask of Momentum, destroy it when the combat chain closes.)*",,,"ninja,equipment,head",,,,,2,,,cold
WTR,80,Breaking Scales,C,"**Attack reaction** - Destroy Breaking Scales: Target attack action card with **combo** gains +1[attack].

**Battleworn** *(If you defend with Breaking Scales, put a -1[defense] counter on it when the combat chain closes.)*",,,"ninja,equipment,arms",,,,,1,,,"standard,rainbow"
WTR,81,Lord of Wind,M,"**Katsu Specialization** *(You may only have Lord of Wind in your deck if your hero is Katsu.)*

**Combo** - If Mugenshi: RELEASE was the last attack this combat chain, you may pay X resource points as an additional cost to play Lord of Wind. If you do, Shuffle X target cards named Surging Strike, Whelming Gustwave, and/or Mugenshi: RELEASE from your graveyard into your deck, then Lord of Wind gains +X[attack].",,,"ninja,action,attack",,,3,0,2,2,,"standard,rainbow"
WTR,82,Ancestral Empowerment,M,"Target Ninja attack action card gains +1[attack].

Draw a card.","They called to him from beyond the Mists. ""It's time to come home.""",,"ninja,attack,reaction",,,1,0,2,,,"standard,rainbow"
WTR,83,Mugenshi: RELEASE,M,"**Katsu Specialization** *(You may only have Mugenshi: RELEASE in your deck if your hero is Katsu.)*

**Combo** - If Whelming Gustwave was the last attack this combat chain, Mugenshi: RELEASE gains +1[attack], **go again**, and  ""If this hits, search your deck for any number of cards named Lord of Wind, reveal them, put them into your hand, then shuffle your deck.""",,,"ninja,action,attack",,,2,1,3,4,,"standard,rainbow"
WTR,84,Hurricane Technique,S,"**Combo** - If Rising Knee Thrust was the last attack this combat chain, Hurricane Technique gains +1[attack], **go again*, and ""If Hurricane Technique hits, put it into your hand.""",,,"ninja,action,attack",,,2,1,3,4,,"standard,rainbow"
WTR,85,Pounding Gale,S,"**Combo** - If Open the Center was the last attack this combat chain, Pounding Gale gains, ""If Pounding Gale would deal damage to a hero, instead it deals double that damage.""",,,"ninja,action,attack",,,1,1,3,5,,"standard,rainbow"
WTR,86,Fluster Fist,R,"**Combo** - If Open the Center was the last attack this combat chain, Fluster Fist gains +1[attack] for each attack that has hit this combat chain.",,,"ninja,action,attack",,,1,0,3,4,,"standard,rainbow"
WTR,87,Fluster Fist,R,"**Combo** - If Open the Center was the last attack this combat chain, Fluster Fist gains +1[attack] for each attack that has hit this combat chain.",,,"ninja,action,attack",,,2,0,3,3,,"standard,rainbow"
WTR,88,Fluster Fist,R,"**Combo** - If Open the Center was the last attack this combat chain, Fluster Fist gains +1[attack] for each attack that has hit this combat chain.",,,"ninja,action,attack",,,3,0,3,2,,"standard,rainbow"
WTR,89,Blackout Kick,R,"**Combo** - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +3[attack].","""Just a little off the top.""",,"ninja,action,attack",,,1,1,3,4,,"standard,rainbow"
WTR,90,Blackout Kick,R,"**Combo** - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +2[attack].","""Just a little off the top.""",,"ninja,action,attack",,,2,1,3,3,,"standard,rainbow"
WTR,91,Blackout Kick,R,"**Combo** - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +1[attack].","""Just a little off the top.""",,"ninja,action,attack",,,3,1,3,2,,"standard,rainbow"
WTR,92,Flic Flak,R,"If the next card you defend with this turn is a card with **combo*, it gains +2[defense].","Silver flashes under the pale moonlight, blades slicing through air as Ira twisted and turned, narrowly avoiding their ambush.",,"ninja,defense,reaction",,,1,0,4,,,"standard,rainbow"
WTR,93,Flic Flak,R,"If the next card you defend with this turn is a card with **combo*, it gains +2[defense].","Silver flashes under the pale moonlight, blades slicing through air as Ira twisted and turned, narrowly avoiding their ambush.",,"ninja,defense,reaction",,,2,0,4,,,"standard,rainbow"
WTR,94,Flic Flak,R,"If the next card you defend with this turn is a card with **combo*, it gains +2[defense].","Silver flashes under the pale moonlight, blades slicing through air as Ira twisted and turned, narrowly avoiding their ambush.",,"ninja,defense,reaction",,,3,0,4,,,"standard,rainbow"
WTR,95,Open the Center,C,"**Combo** If Head Jab was the last attack this combat chain, Open the Center gains +1[attack], **go again** and **dominate**. *(The defending hero can't defend Open the Center with more than 1 card from their hand.)*",,,"ninja,action,attack",,,1,2,3,5,,"standard,rainbow"
WTR,96,Open the Center,C,"**Combo** If Head Jab was the last attack this combat chain, Open the Center gains +1[attack], **go again** and **dominate**. *(The defending hero can't defend Open the Center with more than 1 card from their hand.)*",,,"ninja,action,attack",,,2,2,3,4,,"standard,rainbow"
WTR,97,Open the Center,C,"**Combo** If Head Jab was the last attack this combat chain, Open the Center gains +1[attack], **go again** and **dominate**. *(The defending hero can't defend Open the Center with more than 1 card from their hand.)*",,,"ninja,action,attack",,,3,2,3,3,,"standard,rainbow"
WTR,98,Head Jab,C,**Go again**,,,"ninja,action,attack",,,1,0,2,3,,"standard,rainbow"
WTR,99,Head Jab,C,**Go again**,,,"ninja,action,attack",,,2,0,2,2,,"standard,rainbow"
WTR,100,Head Jab,C,**Go again**,,,"ninja,action,attack",,,3,0,2,1,,"standard,rainbow"
WTR,101,Leg Tap,C,**Go again**,,,"ninja,action,attack",,,1,1,2,4,,"standard,rainbow"
WTR,102,Leg Tap,C,**Go again**,,,"ninja,action,attack",,,2,1,2,3,,"standard,rainbow"
WTR,103,Leg Tap,C,**Go again**,,,"ninja,action,attack",,,3,1,2,2,,"standard,rainbow"
WTR,104,Rising Knee Thrust,C,"**Combo** If Leg Tap was the last attack this combat chain, Rising Knee Thrust gains +2[attack] and **go again**.",,,"ninja,action,attack",,,1,0,3,3,,"standard,rainbow"
WTR,105,Rising Knee Thrust,C,"**Combo** If Leg Tap was the last attack this combat chain, Rising Knee Thrust gains +2[attack] and **go again**.",,,"ninja,action,attack",,,2,0,3,2,,"standard,rainbow"
WTR,106,Rising Knee Thrust,C,"**Combo** If Leg Tap was the last attack this combat chain, Rising Knee Thrust gains +2[attack] and **go again**.",,,"ninja,action,attack",,,3,0,3,1,,"standard,rainbow"
WTR,107,Surging Strike,C,**Go again**,,,"ninja,action,attack",,,1,2,2,5,,"standard,rainbow"
WTR,108,Surging Strike,C,**Go again**,,,"ninja,action,attack",,,2,2,2,4,,"standard,rainbow"
WTR,109,Surging Strike,C,**Go again**,,,"ninja,action,attack",,,3,2,2,3,,"standard,rainbow"
WTR,110,Whelming Gustwave,C,"**Combo** If Surging Strike was the last attack this combat chain, Whelming Gustwave gains +1[attack], **go again** and ""If this hits, draw a card.""",,,"ninja,action,attack",,,1,0,3,3,,"standard,rainbow"
WTR,111,Whelming Gustwave,C,"**Combo** If Surging Strike was the last attack this combat chain, Whelming Gustwave gains +1[attack], **go again** and ""If this hits, draw a card.""",,,"ninja,action,attack",,,2,0,3,2,,"standard,rainbow"
WTR,112,Whelming Gustwave,C,"**Combo** If Surging Strike was the last attack this combat chain, Whelming Gustwave gains +1[attack], **go again** and ""If this hits, draw a card.""",,,"ninja,action,attack",,,3,0,3,1,,"standard,rainbow"
WTR,113,Dorinthea Ironsong,T,"**Once per Turn Effect** - When your weapon attack hits, you may attack an additional time with that weapon this turn.",,,"warrior,hero",,4,,,,,,standard
WTR,114,Dorinthea,T,"**Once per Turn Effect** - When your weapon attack hits, you may attack an additional time with that weapon this turn.",,,"warrior,hero,young",,4,,,,,,standard
WTR,115,Dawnblade,T,"**Once per Turn Action - [resource]: Attack**

If Dawnblade hits, and it's the second time it has hit this turn, put a +1[attack] counter on Dawnblade.

At the beginning of your end phase, if Dawnblade did not hit this turn, remove all +1[attack] counters from Dawnblade.",,,"warrior,weapon,sword,2h",,,,,,3,,standard
WTR,116,Braveforge Bracers,L,"**Once per Turn Action** - [resource]: Your next weapon attack this turn gains +1[attack]. Activate this ability only if a weapon you control has hit this turn. **Go again**

**Battleworn** *(If you defend with Braveforge Bracers, put a -1[defense] counter on it when the combat chain closes.)*",,,"warrior,equipment,arms",,,,,2,,,cold
WTR,117,Refraction Bolters,C,"When your weapon attack hits, you may destroy Refraction Bolters. If you do, the attack gains **go again**.

**Battleworn** *(If you defend with Refraction Bolters, put a -1[defense] counter on it when the combat chain closes.)*",,,"warrior,equipment,legs",,,,,1,,,"standard,rainbow"
WTR,118,Glint the Quicksilver,M,"Target weapon attack gains **go again**.

**Reprise** - If the defending hero has defended with a card from their hand this chain link, draw a card.",,,"warrior,attack,reaction",,,3,0,3,,,"standard,rainbow"
