Set,ID,Name,Rarity,Text,Flavour,Keywords,Life,Intellect,Resource,Cost,Defense,Attack
ARC,24,Throttle,C,"**Boost** *(As an additional cost to play Over Loop, you may banish the top card of your deck. If it's a Mechanologist card, Throttle gains **go again**.)*","*Why, my steam-propelled hammer could increase mining efficiency by up to 38%! - Elias Edgecombe*","mechanologist,action,attack",,,2,2,3,5
ARC,25,Throttle,C,"**Boost** *(As an additional cost to play Over Loop, you may banish the top card of your deck. If it's a Mechanologist card, Throttle gains **go again**.)*","*Why, my steam-propelled hammer could increase mining efficiency by up to 38%! - Elias Edgecombe*","mechanologist,action,attack",,,3,2,3,4
ARC,26,Zero to Sixty,C,"**Boost** *(As an additional cost to play Zero to Sixty, you may banish the top card of your deck. If it's a Mechanologist card, Zero to Sixty gains **go again**.)*",,"mechanologist,action,attack",,,1,0,3,4
ARC,27,Zero to Sixty,C,"**Boost** *(As an additional cost to play Zero to Sixty, you may banish the top card of your deck. If it's a Mechanologist card, Zero to Sixty gains **go again**.)*",,"mechanologist,action,attack",,,2,0,3,3
ARC,28,Zero to Sixty,C,"**Boost** *(As an additional cost to play Zero to Sixty, you may banish the top card of your deck. If it's a Mechanologist card, Zero to Sixty gains **go again**.)*",,"mechanologist,action,attack",,,3,0,3,2
ARC,29,Zipper Hit,C,"**Boost** *(As an additional cost to play Zipper Hit, you may banish the top card of your deck. If it's a Mechanologist card, Zipper Hit gains **go again**.)*","“Yes! Yes! Off you go, my tiny zipperwings! Take your gases to the masses!” - Maxwell","mechanologist,action,attack",,,1,1,3,5
ARC,30,Zipper Hit,C,"**Boost** *(As an additional cost to play Zipper Hit, you may banish the top card of your deck. If it's a Mechanologist card, Zipper Hit gains **go again**.)*","“Yes! Yes! Off you go, my tiny zipperwings! Take your gases to the masses!” - Maxwell","mechanologist,action,attack",,,2,1,3,4
ARC,31,Zipper Hit,C,"**Boost** *(As an additional cost to play Zipper Hit, you may banish the top card of your deck. If it's a Mechanologist card, Zipper Hit gains **go again**.)*","“Yes! Yes! Off you go, my tiny zipperwings! Take your gases to the masses!” - Maxwell","mechanologist,action,attack",,,3,1,3,3
ARC,32,Locked and Loaded,C,"The next Mechanologist attack action card you play this turn gains [+3 attack].

If you have **boosted** this turn, **opt 1**. *(Look at the top card of your deck. You may put it on the bottom.)*

**Go again**",,"mechanologist,action",,,1,0,3,
ARC,33,Locked and Loaded,C,"The next Mechanologist attack action card you play this turn gains [+2 attack].

If you have **boosted** this turn, **opt 1**. *(Look at the top card of your deck. You may put it on the bottom.)*

**Go again**",,"mechanologist,action",,,2,0,3,
ARC,34,Locked and Loaded,C,"The next Mechanologist attack action card you play this turn gains [+1 attack].

If you have **boosted** this turn, **opt 1**. *(Look at the top card of your deck. You may put it on the bottom.)*

**Go again**",,"mechanologist,action",,,3,0,3,
ARC,35,Dissipation Shield,C,"Dissipation Shield enters the arena with 4 steam counters on it.

At the beginning of your action phase, destroy Dissipation Shield unless you remove a steam counter from it.

**Instant** - Destroy Dissipation Shield: The next time your hero would be dealt damaage this turn, prevent X damage, where X is the number of steam counters on Dissipation Shield.",,"mechanologist,action,item",,,2,2,,
ARC,36,Hyper Driver,C,"Hyper Driver enters the arena with 3 steam counters on it. When Hyper Driver has no steam counters on it, destroy it.

**Once per turn effect** - When you **boost** a card, remove a steam counter from Hyper Driver and gain [resource].",,"mechanologist,action,item",,,1,1,,
ARC,37,Optekal Monocle,C,"Optekal Monocle enters the arena with 5 steam counters on it. When Optekal Monocle has no steam counters on it, destroy it.

**Action** - Remove a steam counter from Optekal Monocle: **Opt 1. Go again** *(Look at the top card of your deck. You may put it on the bottom.)*",,"mechanologist,action,item",,,3,0,,
ARC,38,"Azalea, Ace in the Hole",T,"**Once per Turn Action** - 0: Put a card from your arsenal on the bottom of your deck. If you do, put the top card of your deck face up into your arsenal. If it's an arrow card, it gains **dominate** until end of turn. **Go again** *(The defending hero can't defend the attack with more than 1 card from their hand.)*",,"ranger,hero",40,4,,,,
ARC,39,"Azalea, Ace in the Hole",T,"**Once per Turn Action** - 0: Put a card from your arsenal on the bottom of your deck. If you do, put the top card of your deck face up into your arsenal. If it's an arrow card, it gains **dominate** until end of turn. **Go again** *(The defending hero can't defend the attack with more than 1 card from their hand.)*",,"ranger,hero,young",20,4,,,,
ARC,40,Death Dealer,T,"**Once per Turn Action** - [resource]: If you have no cards in your arsenal, you may put an arrow card from your hand face up into your arsenal. If you do, draw a card. **Go again**",,"ranger,weapon,bow,2h",,,,,,
ARC,41,Skullbone Crosswrap,L,"**Once per Turn Action** - Turn a face down card in your arsenal face up: **Opt 1**. **Go again**

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [resource] instead. If you do, prevent 1 arcane damage that source would deal.)*

**Blade Break** *(If you defend with Skullbone Crosswrap, destroy it when the combat chain closes.)*",,"ranger,equipment,head",,,,,1,
ARC,42,Bull's Eye Bracers,C,"**Action** - Destroy Bull's Eye Bracers: If you have no cards in your arsenal, you may put an arrow card from your hand face up into your arsenal. It gains +1[attack] until end of turn. **Go again**

**Arcane Barrier 1** *(If you rhero would be dealt arcane damage, you may pay [resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",,"ranger,equipment,arms",,,,,0,
ARC,43,Red in the Ledger,M,"**Azalea Specialization** *(You may only have Red in the lEdger in your deck if your hero is Azalea.)*

*(Arrows can only be played from arsenal and only if you control a bow.)*

If Red in the Ledger hits a hero, they can't play or activate more than 1 action during their next turn.",,"ranger,action,arrow,attack",,,1,1,3,5
ARC,44,Three of a Kind,M,"Draw 3 cards. Until end of turn, you may only play cards from arsenal.

**Go again**","""Finally. Time to take out the trash."" - Azalea","ranger,action",,,1,1,2,
ARC,45,Endless Arrow,S,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Endless Arrow hits, put it into your hand.",,"ranger,action,arrow,attack",,,1,0,3,4
ARC,46,Nock the Deathwhistle,S,"**Azalea Specialization** *(You may only have Nock the Deathwhistle in your deck if your hero is Azalea.)*

Search your deck for an arrow card, reveal it, then shuffle your deck and put it on top of your deck.

**Reload** *(If you have no cards in your arsenal, you mayp ut a card from your hand face down into your arsenal.)*

**Go again**",,"ranger,action",,,3,0,3,
ARC,47,Rapid Fire,S,"Until end of turn, arrows you control gain **go again**.

**Reload** *(If you have no cards in your arsenal, you mayp ut a card from your hand face down into your arsenal.)*

**Go again**",,"ranger,action",,,2,0,2,
ARC,48,Take Cover,R,"**Reload** *(If you have no cards in your arsenal, you may put a card from your hand face down into your arsenal.)*","In the Pits, every nook, cranny, or demolition debris serves as worthy refuge when it's time to take cover.","ranger,defense,reaction",,,1,0,4,
ARC,49,Take Cover,R,"**Reload** *(If you have no cards in your arsenal, you may put a card from your hand face down into your arsenal.)*","In the Pits, every nook, cranny, or demolition debris serves as worthy refuge when it's time to take cover.","ranger,defense,reaction",,,2,0,3,
ARC,50,Take Cover,R,"**Reload** *(If you have no cards in your arsenal, you may put a card from your hand face down into your arsenal.)*","In the Pits, every nook, cranny, or demolition debris serves as worthy refuge when it's time to take cover.","ranger,defense,reaction",,,3,0,2,
ARC,51,Silver the Tip,R,"If you have no cards in your arsenal, look at the top 4 cards of your deck. You may put an arrow card from among them face up into arsenal, then put the rest on the bottom of your deck in any order.

*Go again**",,"ranger,action",,,1,1,2,
ARC,52,Silver the Tip,R,"If you have no cards in your arsenal, look at the top 3 cards of your deck. You may put an arrow card from among them face up into arsenal, then put the rest on the bottom of your deck in any order.

*Go again**",,"ranger,action",,,2,1,2,
ARC,53,Silver the Tip,R,"If you have no cards in your arsenal, look at the top 2 cards of your deck. You may put an arrow card from among them face up into arsenal, then put the rest on the bottom of your deck in any order.

*Go again**",,"ranger,action",,,3,1,2,
ARC,54,Take Aim,R,"The next Ranger attack action card you play this turn gains +3[attack].

**Reload** *(If you have no cards in your arsenal, you may put a card from your hand face down into your arsenal.)*

**Go again**",,"ranger,action",,,1,0,2,
ARC,55,Take Aim,R,"The next Ranger attack action card you play this turn gains +2[attack].

**Reload** *(If you have no cards in your arsenal, you may put a card from your hand face down into your arsenal.)*

**Go again**",,"ranger,action",,,2,0,2,
ARC,56,Take Aim,R,"The next Ranger attack action card you play this turn gains +1[attack].

**Reload** *(If you have no cards in your arsenal, you may put a card from your hand face down into your arsenal.)*

**Go again**",,"ranger,action",,,3,0,2,
ARC,57,Head Shot,R,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Head Shot is put into your arsenal face up, it gains [+2 attack} until end of turn.",,"ranger,action,arrow,attack",,,1,1,3,4
ARC,58,Head Shot,R,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Head Shot is put into your arsenal face up, it gains [+2 attack} until end of turn.",,"ranger,action,arrow,attack",,,2,1,3,3
ARC,59,Head Shot,R,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Head Shot is put into your arsenal face up, it gains [+2 attack} until end of turn.",,"ranger,action,arrow,attack",,,3,1,3,2
ARC,60,Hamstring Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Hamstring Shot hits a hero, their first attack during their next turn costs an additional [resource] to play.",,"ranger,action,arrow,attack",,,1,1,3,5
ARC,61,Hamstring Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Hamstring Shot hits a hero, their first attack during their next turn costs an additional [resource] to play.",,"ranger,action,arrow,attack",,,2,1,3,4
ARC,62,Hamstring Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Hamstring Shot hits a hero, their first attack during their next turn costs an additional [resource] to play.",,"ranger,action,arrow,attack",,,3,1,3,3
ARC,63,Ridge Rider Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Ridge Rider Shot is put into your arsenal face up, **opt 1**. *(Look at the top card of your deck. You may put it on the bottom.)*",,"ranger,action,arrow,attack",,,1,0,3,4
ARC,64,Ridge Rider Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Ridge Rider Shot is put into your arsenal face up, **opt 1**. *(Look at the top card of your deck. You may put it on the bottom.)*",,"ranger,action,arrow,attack",,,2,0,3,3
ARC,65,Ridge Rider Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Ridge Rider Shot is put into your arsenal face up, **opt 1**. *(Look at the top card of your deck. You may put it on the bottom.)*",,"ranger,action,arrow,attack",,,3,0,3,2
ARC,66,Salvage Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Salvage Shot hits, put it on the bottom of your deck.",,"ranger,action,arrow,attack",,,1,1,3,5
ARC,67,Salvage Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Salvage Shot hits, put it on the bottom of your deck.",,"ranger,action,arrow,attack",,,2,1,3,4
ARC,68,Salvage Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Salvage Shot hits, put it on the bottom of your deck.",,"ranger,action,arrow,attack",,,3,1,3,2
ARC,69,Searing Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Searing Shot hits a hero, they lose 1[life].",,"ranger,action,arrow,attack",,,1,0,3,4
ARC,70,Searing Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Searing Shot hits a hero, they lose 1[life].",,"ranger,action,arrow,attack",,,2,0,3,3
ARC,71,Searing Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

If Searing Shot hits a hero, they lose 1[life].",,"ranger,action,arrow,attack",,,3,0,3,2
ARC,72,Sic ‘Em Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

**Go again**",,"ranger,action,arrow,attack",,,1,1,3,4
ARC,73,Sic ‘Em Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

**Go again**",,"ranger,action,arrow,attack",,,2,1,3,3
ARC,74,Sic ‘Em Shot,C,"*(Arrows can only be played from arsenal and only if you control a bow.)*

**Go again**",,"ranger,action,arrow,attack",,,3,1,3,2
ARC,75,"Viserai, Rune Blood",T,"Whenever you play a Runeblade card, if you have played another 'non-attack' action card this turn, create a Runechant token. *(It's an aura with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*",,"runeblade,hero",40,4,,,,
ARC,76,Viserai,T,"Whenever you play a Runeblade card, if you have played another 'non-attack' action card this turn, create a Runechant token. *(It's an aura with ""When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero."")*",,"runeblade,hero,young",20,4,,,,
ARC,77,Nebula Blade,T,"**Once per Turn Action** - [2 resource]: **Attack**

If Nebula Blade hits , create a Runechant token.

If you have played a ‘non-attack’ action card this turn, Nebula Blade gains [+3 attack] until end of turn.",,"runeblade,weapon,sword,2h",,,,,,1
ARC,78,Grasp of the Arknight,L,"**Once per Turn Action** - [2 resource]: Create a Runechant token. This ability costs an additional [resource] to activate for each Runechant you control. **Go again**

**Battleworn** *(If you defend with Grasp of the Arknight, put a -1[defense] counter on it when the combat chain closes.)*",,"runeblade,equipment,arms",,,,,2,
ARC,79,Crown of Dichotomy,C,"**Action** - [resource], destroy Crown of Dichotomy. Put target Runeblade attack action card and target Runeblade ‘non-attack’ action card from your graveyard on top of your deck in any order.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",,"runeblade,equipment,head",,,,,0,
ARC,80,Arknight Ascendancy,M,"**Viserai Specialization** *(You may only have Arknight Ascendancy in your deck if your hero is Viserai.)*

Arknight Ascendancy costs [resource] less to play for each Runechant you control.

If Arknight Ascendancy hits, create X Runechant tokens, where X is the damage dealt by Arknight Ascendancy.

**Dominate**",,"runeblade,action,attack",,,1,6,3,5
ARC,81,Mordred Tide,M,"Until end of turn, if you would create a Runechant token, instead create that many plus 1.

**Go again**","With each step, the tide draws in, drowning the world in shadow.","runeblade,action",,,1,0,3,
ARC,82,Ninth Blade of the Blood Oath,S,Ninth Blade of the Blood Oath costs [resource] less to play for each Runechant token you control.,,"runeblade,action,attack",,,2,9,3,9
ARC,83,Become the Arknight,S,"**Viserai Specialization** *(You may only have Become the Arknight in your deck if your hero is Viserai.)* **Choose 1;**

Discard a ‘non-attack’ action card. Search your deck for a Runeblade attack action card, reveal it, put it into your hand, then shuffle your deck. **Go again**
Discard an attack action card. Search for your deck for a Runeblade ‘non-attack’ action card, reveal it, put it into your hand, then shuffle your deck. **Go again**",,"runeblade,action",,,3,0,3,
ARC,84,Tome of the Arknight,S,"Reveal the top 2 cards of your deck. If you reveal an attack action card and a 'non-attack' action card this way, put them into your hand.

**Go again**","""And in abandoning the Light, I am consumed by the Shadow, and gifted true power..."" - Eldon, Lost Knight","runeblade,action",,,3,1,2,
ARC,85,Spellblade Assault,R,"Create 2 Runechant tokens. *(They’re auras with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,attack",,,1,2,3,4
ARC,86,Spellblade Assault,R,"Create 2 Runechant tokens. *(They’re auras with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,attack",,,2,2,3,3
ARC,87,Spellblade Assault,R,"Create 2 Runechant tokens. *(They’re auras with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,attack",,,3,2,3,2
ARC,88,Reduce to Runechant,R,"Reduce to Runechant costs [resource] less to play for each Runechant you control.

Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,defense,reaction",,,1,1,4,
ARC,89,Reduce to Runechant,R,"Reduce to Runechant costs [resource] less to play for each Runechant you control.

Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,defense,reaction",,,2,1,3,
ARC,90,Reduce to Runechant,R,"Reduce to Runechant costs [resource] less to play for each Runechant you control.

Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,defense,reaction",,,3,1,2,
ARC,91,Oath of the Arknight,R,"Your next Runeblade attack this turn gains +3[attack].

Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*

**Go again**",,"runeblade,action",,,1,2,3,
ARC,92,Oath of the Arknight,R,"Your next Runeblade attack this turn gains +2[attack].

Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*

**Go again**",,"runeblade,action",,,2,2,2,
ARC,93,Oath of the Arknight,R,"Your next Runeblade attack this turn gains +1[attack].

Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*

**Go again**",,"runeblade,action",,,3,2,1,
ARC,94,Amplify the Arknight,C,Amplify the Arknight costs [resource] less to play for each Runechant you control.,"As he is forced to rise once again and defend his long-forsaken tomb, he longs for sweet release of death's embrace.","runeblade,action,attack",,,1,3,3,6
ARC,95,Amplify the Arknight,C,Amplify the Arknight costs [resource] less to play for each Runechant you control.,"As he is forced to rise once again and defend his long-forsaken tomb, he longs for sweet release of death's embrace.","runeblade,action,attack",,,2,3,3,5
ARC,96,Amplify the Arknight,C,Amplify the Arknight costs [resource] less to play for each Runechant you control.,"As he is forced to rise once again and defend his long-forsaken tomb, he longs for sweet release of death's embrace.","runeblade,action,attack",,,3,3,3,4
ARC,97,Drawn to the Dark Dimension,C,"Drawn to the Dark Dimension costs [resource] less to play for each Runechant you control.

Draw a card.","Beware that which lies within the shadows, for its reach may extend beyond the physical plane.","runeblade,action,attack",,,1,2,3,3
ARC,98,Drawn to the Dark Dimension,C,"Drawn to the Dark Dimension costs [resource] less to play for each Runechant you control.

Draw a card.","Beware that which lies within the shadows, for its reach may extend beyond the physical plane.","runeblade,action,attack",,,2,2,3,2
ARC,99,Drawn to the Dark Dimension,C,"Drawn to the Dark Dimension costs [resource] less to play for each Runechant you control.

Draw a card.","Beware that which lies within the shadows, for its reach may extend beyond the physical plane.","runeblade,action,attack",,,3,2,3,1
ARC,100,Rune Flash,C,"Rune Flash costs [resource] less to play for each Runechant you control.

**Go again**","Ancient runes guard its dusty windows, it's darkned halls where the Shadows sleep.","runeblade,action,attack",,,1,3,3,4
ARC,101,Rune Flash,C,"Rune Flash costs [resource] less to play for each Runechant you control.

**Go again**","Ancient runes guard its dusty windows, it's darkned halls where the Shadows sleep.","runeblade,action,attack",,,2,3,3,3
ARC,102,Rune Flash,C,"Rune Flash costs [resource] less to play for each Runechant you control.

**Go again**","Ancient runes guard its dusty windows, it's darkned halls where the Shadows sleep.","runeblade,action,attack",,,3,3,3,2
ARC,103,Spellblade Strike,C,"Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,attack",,,1,1,3,4
ARC,104,Spellblade Strike,C,"Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,attack",,,2,1,3,3
ARC,105,Spellblade Strike,C,"Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,attack",,,3,1,3,2
ARC,106,Bloodspill Invocation,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

When an attack action card you control hits, destroy Bloodspill Invocation then create 3 Runechant tokens. *(They’re an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,aura",,,1,1,2,
ARC,107,Bloodspill Invocation,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

When an attack action card you control hits, destroy Bloodspill Invocation then create 2 Runechant tokens. *(They’re an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,aura",,,2,1,2,
ARC,108,Bloodspill Invocation,C,"*(Auras stay in the arena until they are destroyed.)*

**Go again**

When an attack action card you control hits, destroy Bloodspill Invocation then create a Runechant token. *(They’re an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action,aura",,,3,1,2,
ARC,109,Read the Runes,C,"Create 3 Runechant tokens. *(They’re an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action",,,1,0,2,
ARC,110,Read the Runes,C,"Create 2 Runechant tokens. *(They’re an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action",,,2,0,2,
ARC,111,Read the Runes,C,"Create a Runechant token. *(It’s an aura with “When you play an attack action card or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.”)*",,"runeblade,action",,,3,0,2,
ARC,112,Runechant,T,"*(Auras stay in the arena until they are destroyed.)*

When you play an attack action card, or attack with a weapon, destroy Runechant and deal 1 arcane damage to target opposing hero.",,"runeblade,token,aura",,,,,,
ARC,113,"Kano, Dracei of Aether",T,"**Instant** - [3 resource]: Look at the top card of your deck. If it's a 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant.",,"wizard,hero",30,4,,,,
ARC,114,"Kano, Dracei of Aether",T,"**Instant** - [3 resource]: Look at the top card of your deck. If it's a 'non-attack' action card, you may banish it. If you do, you may play it this turn as though it were an instant.",,"wizard,hero,young",15,4,,,,
ARC,115,Crucible of Aetherweave,T,"**Once per Turn Instant** - [resource]: The next card you play this turn with an effect that deals arcane damage, instead deals that much arcane damage plus 1.",,"wizard,weapon,staff,2h",,,,,,
